name,one,two,three,id
北京,136.27,3752.48,12363.18,6
河北,2905.73,13126.86,8483.17,20
山西,641.42,6635.26,3960.87,15
内蒙古,1306.3,8037.69,5015.89,30
辽宁,1915.57,12152.15,8158.98,22
黑龙江,1277.44,5611.48,3679.91,31
上海,1701.5,5962.41,14918.09,27
江苏,3064.78,7927.89,11142.86,26
浙江,1583.04,25203.28,20842.21,28
福建,2015.31,16555.58,14180.23,7
江西,1612.24,8309.38,4975.96,25
河南,1391.07,9069.2,6878.74,21
湖南,3973.85,6390.55,3921.2,17
广东,3512.24,25203.28,17370.89,9
海南,2569.3,16555.58,7991.72,12
重庆,2569.3,8309.38,7247.02,5
贵州,659.23,9815.94,7539.54,4
云南,844.52,26447.38,24097.7,19
西藏,1411.01,714.5,1148.93,10
陕西,1220.9,9361.99,7014.04,14
甘肃,678.75,5427.08,2781.29,1
新疆,155.08,208.79,322.57,11
